ID,nam,price,old_price,desc
133,Nước Hoa Hồng (Có Mùi) Dưỡng Ẩm Da Và Làm Mềm Da Dear Klairs Supple Preparation Facial Toner 180ml,399.000 ₫,,"Cân bằng độ pH, tăng cường hiệu quả chăm sóc da, giúp ""hồi sức"" và ""bừng tỉnh"" làn da mềm mại, ẩm mịn, sáng ngời"
127,Nước Cân Bằng Dưỡng Ẩm Dành Cho Da Nhạy Cảm Bioderma Sensibio Tonique 100ml,265.000 ₫,,"Làm sạch sâu, giúp cân bằng độ pH cho da, đồng thời cấp ẩm, dưỡng da luôn trong trạng thái mềm mượt, mịn màng"
107,Nước Cân Bằng Simple Làm Dịu Da & Cấp Ẩm Kind to Skin Soothing Facial Toner 200ml,180.000 ₫,,"Loại bỏ mọi chất kiềm sót lại sau khi rửa mặt, giúp cân bằng lại độ pH tự nhiên của da."
494,Nước Xịt Khoáng Làm Sạch Và Làm Dịu Cho Da Dầu Mụn Serozinc La Roche-Posay 300ml,495.000 ₫,,"Làm sạch và làm dịu những làn da đang bị mụn sưng, viêm hoặc đang trong tình trạng kích ứng."
456,Nước Xịt Khoáng Bio-essence Dưỡng Da Ẩm Mượt Mịn Màng Bio-Water Energizing Water Dung Tích: 300ml,385.000 ₫,,"Cung cấp độ ẩm tối đa cho da, từ đó giúp da luôn tươi trẻ và tràn đầy năng lượng."
449,Nước Khoáng Dưỡng Da Vichy Mineralizing Thermal Water 300ml,455.000 ₫,,"Nước Khoáng Dưỡng Da Vichy Mineralizing Thermal Water 300ml có tác dụng làm dịu, củng cố và cải thiện vẻ đẹp làn da."
448,Nước Khoáng Dưỡng Da Vichy Mineralizing Thermal Water 150ml,310.000 ₫,,"Nước Khoáng Dưỡng Da Vichy 150ml có tác dụng làm dịu, củng cố và cải thiện vẻ đẹp làn da."
439,Nước Xịt Khoáng Làm Dịu Và Bảo Vệ Da La Roche-Posay Thermal Spring Water 300ml,450.000 ₫,,"Nước Xịt Khoáng Làm Dịu Và Bảo Vệ Da La Roche-Posay Thermal Spring Water 300ml giúp làm dịu, giảm kích ứng và hỗ trợ làm chậm quá trình oxy hóa da."
437,Nước Xịt Khoáng Làm Dịu Và Bảo Vệ Da La Roche-Posay Thermal Spring Water 150ml,300.000 ₫,,"Nước Xịt Khoáng Làm Dịu Và Bảo Vệ Da La Roche-Posay Thermal Spring Water 150ml giúp làm dịu, giảm kích ứng và hỗ trợ làm chậm quá trình oxy hóa da."
194,"Xịt Khoáng Cấp Nước, Làm Dịu & Giảm Kích Ứng Avène Thermal Spring Water 300ml",424.000 ₫,,"Làm dịu và giảm kích ứng da, phù hợp sở hữu cả những làn da mẫn cảm nhất."
154,Nước Xịt Khoáng Làm Sạch Và Làm Dịu Cho Da Dầu Mụn Serozinc La Roche-Posay 150ml,350.000 ₫,,"Làm sạch và làm dịu những làn da đang bị mụn sưng, viêm, hoặc đang trong tình trạng kích ứng"
139,Nước Khoáng Dưỡng Da Vichy 50ml,175.000 ₫,,"Giúp phục hồi và củng cố hàng rào bảo vệ da, cân bằng độ pH và làm dịu da ngay tức thì"
137,Nước Xịt Khoáng Làm Dịu Và Bảo Vệ Da Thermal Spring Water 50ml,145.000 ₫,,Làm sạch sâu và loại bỏ lớp trang điểm nhanh chóng mà không cần rửa lại bằng nước
761,"Emmié by Happyskin Luminclear Perfection Peel Solution - Dung Dịch Peel Trẻ Hóa, Căng Bóng Da Và Ngừa Mụn 30ml (Mandelic 45%)",659.000 ₫,680.000 ₫,Hỗ trợ phục hồi làn da.
760,"Emmié by Happyskin Luminclear Perfection Peel Solution - Dung Dịch Peel Trẻ Hóa, Căng Bóng Da Và Ngừa Mụn 2ml (Mandelic 45%)",89.000 ₫,98.000 ₫,Hỗ trợ phục hồi làn da.
759,Serum Emmié by Happyskin Niacinabright 20% Clear Skin Serum - Làm Sáng Da Mờ Thâm 30ml (20% Nia),359.000 ₫,420.000 ₫,Bảo vệ và làm mờ thâm da.
758,Serum Emmié by Happyskin Luminboost Skin Refining Serum - Trẻ Hóa Và Căng Bóng Da 30ml (Mandelic 10%),359.000 ₫,420.000 ₫,"Cấp ẩm, làm sáng và căng bóng da"
756,Emmié by Happyskin Mandelic Luminyouth M.R.E Concentrate - Tinh Chất Trẻ Hóa Da Ban Đêm 30ml (Mandelic 12%),449.000 ₫,490.000 ₫,Làm sáng da và mờ thâm
78,"Tinh Chất Làm Mờ Đốm Nâu, Thâm Nám Emmié Duo C + Arbutin 25.5% Serum 30ml",679.150 ₫,799.000 ₫,Giúp làm mờ và giảm thiểu tình trạng đốm nâu trên da.
28,Serum Dưỡng Trắng Chuyên Dụng Ceuticoz Blabon 10% Niacinamide 30ml,390.150 ₫,459.000 ₫,"Làm đều màu da, cải thiện lỗ chân lông và cải thiện kết cấu da rõ rệt."
34,"Serum Cấp Ẩm Sâu, Chống Lão Hóa Ceuticoz Hebeda Hyaluronic Acid 30ml",279.650 ₫,329.000 ₫,"Cấp ẩm tức thì tăng khả năng đàn hồi, giữ da mềm mại và mịn màng."
80,Serum Sinh Học B5 Phục Hồi Đa Tầng Emmié Bio-Active Dermo Repair 30ml,594.150 ₫,699.000 ₫,Hồi phục da đa tầng giúp da trở nên sáng mịn.
668,[LỖI HỘP] Serum Sinh Học B5 Phục Hồi Đa Tầng Emmié Bio-Active Dermo Repair 30ml,384.450 ₫,699.000 ₫,Hồi phục da đa tầng giúp da trở nên sáng mịn.
526,Cocktail Trắng Sáng Da MCCM Prof Whitening 5ml - Hộp 10 Ống,8.600.000 ₫,,"Tinh chất làm trắng da với sự kết hợp Glutathione, Vitamin C và Axit Pyruvic. Một hợp chất chống oxy hóa mạnh mẽ."
515,Serum Dưỡng Ẩm Skinceuticals B5 30ml,1.955.000 ₫,,"Hydrating B5 giúp khôi phục và cung cấp dưỡng chất cho da, giúp làn da trở nên trẻ trung, mịn màng hơn. Vitamin B5 và Hyaluronic Acid có trong thành phần điều chế hỗ trợ cấp ẩm và duy trì độ ẩm cho da."
502,Dưỡng Chất Khoáng Cô Đặc Giúp Phục Hồi Và Bảo Vệ Da Vichy Mineral 89 30ml,690.000 ₫,,"Cấp ẩm, đưa nước vào sâu tế bào da, đồng thời khoá ẩm, tránh mất nước, đem lại làn da ngậm nước, mềm mại."
493,"Tinh Chất Cấp Nước, Phục Hồi Da The Ordinary Hyaluronic Acid 2% + B5 30ml",299.000 ₫,,"Giúp da đủ độ ẩm, tránh tình trạng bị mất nước, ngăn ngừa lão hóa da. Làm dịu và phục hồi, giúp da trở nên căng mọng, mềm  mại, tăng độ đàn hồi"
490,Serum Trị Mụn SkinCeuticals Blemish + Age Defense Acne Treatment 30ml,2.150.000 ₫,,"Tinh chất hỗ trợ cải thiện làn da sau mụn, kiểm soát bã nhờn và ngăn ngừa hình thành mụn."
489,Tinh Chất SkinCeuticals C E Ferulic 30ml,3.850.000 ₫,,"Giúp trung hòa các gốc tự do gây hại cho da, giảm bớt các dấu hiệu lão hóa sớm."
488,Serum Làm Sáng SkinCeuticals Silymarin CF 30ml,3.850.000 ₫,,"Làm chậm quá trình oxy hóa, kiểm soát dầu thừa, cải thiện các khuyết điểm tồn tại trên da."
486,Tinh Chất Trị Mụn Và Giảm Thâm The Ordinary Niacinamide 10% + Zinc 1% 30ml,290.000 ₫,,"Duy trì và bổ sung độ ẩm, phục hồi làn da bị mụn hiệu quả."
485,"Tinh Chất Trị Mụn, Mờ Vết Thâm, Tái Tạo Da, Ngăn Ngừa Mụn Eucerin ProAcne A.I Clearing Treatment 40ml",490.000 ₫,,"Ức chế hoạt động của các vi khuẩn gây mụn, kích thích tăng trưởng Collagen, Elastin, làm mờ sẹo và thâm mụn."
482,Tinh Chất Se Khít Lỗ Chân Lông Tối Ưu Paula's Choice Clinical Niacinamide 20% Treatment 20ml,1.890.000 ₫,,"Thu nhỏ lỗ chân lông, cân bằng lượng dầu thừa, cải thiện tình trạng da không đều màu, làm mờ vết thâm sau mụn."
481,MCCM Vitamin C 20% - 1 Ống,250.000 ₫,,"Tinh chất giúp làn da săn chắc, trẻ trung sáng bóng. Trung hòa các gốc tự do, chống lão hóa, thúc đẩy sản sinh collagen cho da săn chắc. Ức chế hình thành melanin cải thiện sạm nám, làm trắng sáng da"
480,Tinh Chất Rau Má Giảm Mụn & Phục Hồi Da Skin1004 Madagascar Centella Ampoule 100ml,610.000 ₫,,"Làm dịu da, giảm sưng mụn, hỗ trợ phục hồi da và chữa lành làn da bị tổn thương."
478,"Tinh Chất oh!oh! Dưỡng Sáng Da, Giảm Thâm Nám - 30ml",980.000 ₫,,"Giúp tăng cường vẻ rạng rỡ cho làn da, làm sáng vùng da xỉn màu, sạm, có đốm nâu, thiếu sức sống."
477,Tinh Chất Rau Má Làm Dịu Và Ngăn Rạn Da SkinClinic (Có Bán Lẻ),2.750.000 ₫,,"Chứa Saponin giúp tăng tốc độ làm lành vết thương. Thúc đẩy quá trình tái tạo tế bào, ngăn ngừa sự hình thành sẹo. Tạo cảm giác mát và dịu cho da ửng đỏ sau các liệu trình chuyên nghiệp. Duy trì khả năng tăng sinh Collagen được nghiên cứu ứng dụng trong vấn đề rạn da hiệu quả (kể cả rạn sau sinh, béo phì và do dùng thuốc)"
767,Emmié by Happyskin Biomecare & Repair Water Cream B5 + Bifida - Kem Dưỡng Ẩm Và Phục Hồi 50g,399.000 ₫,460.000 ₫,"Cấp ẩm sâu, làm dịu da."
84,Kem Dưỡng Trắng Emmié Face & Body Emulsion 7% Niacinamide 250ml - Wild Iris,350.000 ₫,,"Làm dịu và cải thiện làn da giúp làm trắng da vượt trội, cấp ẩm sâu mà không gây bết dính."
83,Kem Dưỡng Trắng Emmié Face & Body Emulsion 7% Niacinamide 250ml - Peachy Love,350.000 ₫,,"Làm dịu và cải thiện làn da giúp làm trắng da vượt trội, cấp ẩm sâu mà không gây bết dính."
520,"Gel Dưỡng Làm Mờ Sẹo, Giúp Làm Dịu Da La Roche-Posay 40ml",470.000 ₫,,"Làm dịu da, chống viêm, không gây kích ứng, giúp da săn chắc hơn."
514,Kem Dưỡng Trắng Da Retinol 1% Skin Brightener 50ml,3.800.000 ₫,,"Làm sáng da và giúp làm đều màu da là công dụng chính của kem dưỡng trắng Retinol 1%. Giúp ngăn ngừa những vấn đề về da trong tương lai. Bảo vệ da, chống oxy hóa và các tác động xấu từ môi trường bên ngoài."
513,Kem Chống Lão Hóa Da Obagi Retinol 0.5,1.620.000 ₫,,"Kem chống lão hóa Obagi 360 chứa 0.5% Retinol giúp thúc đẩy quá trình thay mới tế bào, đem lại kết cấu da mịn màng, giảm thiểu vẻ ngoài của nếp nhăn, rãnh sâu, cũng như cải thiện tông da không đều màu cho tổng thể da rạng rỡ, trẻ trung hơn."
504,Kem Dưỡng Giảm Ngứa & Làm Dịu Da Khô Mẩn Đỏ & Viêm La Roche-Posay Lipikar Baume AP+ 75ml,310.000 ₫,,"Giúp làm dịu các triệu chứng ngứa và khó chịu tức thì, đồng thời cung cấp và phục hồi độ ẩm cho da nhạy cảm khô đến rất khô."
501,"Kem Dưỡng Làm Dịu Mát, Phục Hồi Da Bị Kích Ứng LA ROCHE-POSAY CICAPLAST BAUME B5 100ml",635.000 ₫,,Kem dưỡng giúp phục hồi da sau 1 GIỜ và bảo vệ hàng rào độ ẩm da với công nghệ cải tiến mới Tribioma và các hoạt chất phục hồi chuyên sâu.
487,Kem Dưỡng Làm Dịu Và Phục Hồi Da Ban Đêm Dear Klairs Midnight Blue Calming Cream 60g,575.000 ₫,,"Cấp ẩm, làm dịu và hỗ trợ phục hồi da hiệu quả."
483,"Kem Dưỡng Làm Dịu Mát, Phục Hồi Da Bị Kích Ứng LA ROCHE-POSAY CICAPLAST BAUME B5 40ml",470.000 ₫,,Kem dưỡng giúp phục hồi da sau 1 GIỜ và bảo vệ hàng rào độ ẩm da với công nghệ cải tiến mới Tribioma và các hoạt chất phục hồi chuyên sâu.
476,Gel Dưỡng Megaduo Trị Thâm Mụn 15g,160.000 ₫,,"Làm mờ thâm mụn, ngăn ngừa mụn trứng cá, mụn đầu đen, mụn đầu trắng, đồng thời cung cấp dưỡng chất cho làn da."
453,Kem Dưỡng Phục Hồi Làm Dịu Da Obagi Clinical Kinetin+ Hydrating Cream 50ml,1.650.000 ₫,,"Giúp giảm thiểu các dấu hiệu lão hoá, vẻ ngoài của nếp nhăn, cải thiện tông da, giảm đỏ da và củng cố sức khỏe làn da."
450,Kem Dưỡng Tái Tạo & Phục Hồi Da Nhạy Cảm MartiDerm Skin Repair Cicra Vass Cream,780.000 ₫,,"Giúp làm dịu tình trạng da nhạy cảm / kích ứng, hỗ trợ làm lành các tổn thương, ngăn ngừa nguy cơ hình thành sẹo thâm."
446,"Kem Điều Trị Mụn, Nám Lão Hoá Da Obagi Tretinoin Cream 0.05% 20g",2.100.000 ₫,,"Kích thích đổi mới các tế bào biểu bì, tái tạo mô liên kết, ngăn ngừa u da và ung thư da, điều trị mụn trứng cá, các bệnh ngoài da như vảy nến, vảy cá hoặc là bị dày sừng."
438,Kem Dưỡng Ẩm Cho Mặt Và Cổ Da SVR Bình Thường Đến Da Hỗn Hợp Hydraliane Légère 40ml,415.000 ₫,,"Kem Dưỡng Ẩm SVR Cho Da Thường Đến Da Hỗn Hợp 40ml là sản phẩm kem dưỡng đến từ thương hiệu mỹ phẩm SVR của Pháp, có thể sử dụng cho da thường đến da hỗn hợp, với kết cấu dạng lotion nhẹ như lông tơ kem sẽ tan chảy vào trong da và ngay lập tức bao phủ làn da, mang lại cho bạn sắc da không bóng nhờn, sáng mịn với hiệu quả dưỡng ẩm lên đến 24 giờ."
435,Minisize Kem Dưỡng Ẩm Chuyên Sâu Dear Klairs Rich Moist Soothing Cream 20ml,80.000 ₫,,"Kem dưỡng ẩm Rich Moist Soothing Cream có tác dụng cấp ẩm, làm dịu các nốt mụn và hỗ trợ làm mờ vết thâm. Kem dưỡng tập trung cấp nước và cấp ẩm, hydrat hóa ngay lập tức tức sử dụng lâu dài sẽ giúp da rạng rỡ hơn và căng bóng hơn."
427,Kem Làm Dịu Da Bioderma Atoderm Intensive Baume Dành Cho Da Rất Khô Hoặc Da Nhạy Cảm 75ml,265.000 ₫,,"Làm dịu da, giảm kích ứng, giảm cảm giác ngứa và khó chịu trên da."
426,"Kem Dưỡng Sáng Da Chống Nắng, Ngừa Mụn Ban Ngày Eucerin Pro Acne Solution Day Mat Whitening SPF30 50ml",519.000 ₫,,"Giúp làm mờ thâm, sáng da. Giảm sự hình thành mụn mới cũng như ngăn chặn chúng quay trở lại."
423,"Kem Trị Mụn, Mờ Sẹo Derma Forte 15g",150.000 ₫,,"Derma Forte là gel bôi trị mụn, mờ thâm, đặc biệt hữu hiệu trong việc ngăn ngừa và làm giảm các dạng mụn trứng cá, ngừa thâm, dưỡng trắng mịn da và mờ sẹo do mụn"
422,Sữa Dưỡng Ẩm Ban Ngày Dành Cho Da Mặt CeraVe Facial Moisturising Lotion AM 52ml,320.000 ₫,,"Ngăn ngừa tia UV SPF 25, sữa dưỡng giúp duy trì độ ẩm cho làn da cả ngày dài và khôi phục hàng rào bảo vệ da."
421,"Kem Trị Mụn, Nám, Thâm Obagi Tretinoin 0.1% Cream 20g",2.320.000 ₫,,"Kem điều trị đa nhiệm Obagi Tretinoin 0.1% Cream 20g giúp ngăn ngừa, cải thiện tình trạng mụn, nếp nhăn, các dấu hiệu lão hoá, góp phần cải thiện các vấn đề về sắc tố như sạm, nám."
419,Kem Dưỡng Da Chống Nhăn Ban Ngày Dành Cho Da Khô Teoxane Advanced Filler 50ml,2.940.000 ₫,,"Kem Dưỡng Da Chống Nhăn Ban Ngày Dành Cho Da Khô Teoxane Advanced Filler 50ml chứa thành phần hoạt chất chống nếp nhăn, giúp da được cấp ẩm ngay tức thì và trở nên săn chắc hơn."
417,Treatment Điều Trị Làm Mềm Da Dùng Hằng Ngày Paula's Choice Resist Daily Smoothing Treatment With 5% Aha 50ml,949.000 ₫,,"Tái tạo, khôi phục làn da tươi trẻ, làm giảm sự xuất hiện của nếp nhăn nhỏ."
413,Kem Dưỡng Phục Hồi Cho Da Nhạy Cảm Teoxane Deep Repair Balm 30ml,1.400.000 ₫,,Kem Dưỡng Phục Hồi Cho Da Nhạy Cảm Teoxane Deep Repair Balm 30ml hỗ trợ mang đến làn da mềm mịn và ẩm mượt suốt ngày dài.
816,Mặt Nạ Microfiber Sung Giúp Mờ Nếp Nhăn - Emmié Ficus Microfiber Mask 28gr - Hộp 10 Miếng,235.000 ₫,649.000 ₫,"""Cầu - Dừa - Đủ - Xoài - Sung"" - Bộ Sưu Tập Mặt Nạ Microfiber Tết Ất Tỵ 2025 Mang Đến Quy Trình Chăm Sóc Da Hoàn Toàn Mới Cùng Thiết Kế Độc Quyền Chỉ Có Tại Emmié by Happyskin."
815,Mặt Nạ Microfiber Xoài Dưỡng Sáng Da - Emmié Mangifera Microfiber Mask 28gr - Hộp 10 Miếng,235.000 ₫,649.000 ₫,"""Cầu - Dừa - Đủ - Xoài - Sung"" - Bộ Sưu Tập Mặt Nạ Microfiber Tết Ất Tỵ 2025 Mang Đến Quy Trình Chăm Sóc Da Hoàn Toàn Mới Cùng Thiết Kế Độc Quyền Chỉ Có Tại Emmié by Happyskin."
814,Mặt Nạ Microfiber Đu Đủ Dưỡng Trắng Da - Emmié Carica Microfiber Mask 28gr - Hộp 10 Miếng,235.000 ₫,649.000 ₫,"""Cầu - Dừa - Đủ - Xoài - Sung"" - Bộ Sưu Tập Mặt Nạ Microfiber Tết Ất Tỵ 2025 Mang Đến Quy Trình Chăm Sóc Da Hoàn Toàn Mới Cùng Thiết Kế Độc Quyền Chỉ Có Tại Emmié by Happyskin."
813,Mặt Nạ Microfiber Dừa Dưỡng Ẩm Da - Emmié Cocos Microfiber Mask 28gr - Hộp 10 Miếng,235.000 ₫,649.000 ₫,"""Cầu - Dừa - Đủ - Xoài - Sung"" - Bộ Sưu Tập Mặt Nạ Microfiber Tết Ất Tỵ 2025 Mang Đến Quy Trình Chăm Sóc Da Hoàn Toàn Mới Cùng Thiết Kế Độc Quyền Chỉ Có Tại Emmié by Happyskin."
812,Mặt Nạ Microfiber Mãng Cầu Làm Dịu Da - Emmié Cherimoya Microfiber Mask 28gr - Hộp 10 Miếng,235.000 ₫,649.000 ₫,"""Cầu - Dừa - Đủ - Xoài - Sung"" - Bộ Sưu Tập Mặt Nạ Microfiber Tết Ất Tỵ 2025 Mang Đến Quy Trình Chăm Sóc Da Hoàn Toàn Mới Cùng Thiết Kế Độc Quyền Chỉ Có Tại Emmié by Happyskin."
811,Hộp MIX 5 Loại Mặt Nạ Bộ Sưu Tập Mặt Nạ Emmié Microfiber Mask - Cầu Sung Dừa Đủ Xoài,235.000 ₫,649.000 ₫,Hộp MIX 1 Loại Mặt Nạ Bộ Sưu Tập Kỷ Niệm Tết 2025 - Ất Tỵ Với Phôi Mask Microfiber Tiên Tiến Mang Đến Sản Phẩm Chăm Sóc Da Hiệu Quả An Toàn Cho Người Tiêu Dùng.
810,Bộ Sưu Tập Mặt Nạ Emmié Microfiber Mask - Cầu Sung Dừa Đủ Xoài,235.000 ₫,649.000 ₫,Bộ Sưu Tập Kỷ Niệm Tết 2025 - Ất Tỵ Với Phôi Mask Microfiber Tiên Tiến Mang Đến Sản Phẩm Chăm Sóc Da Hiệu Quả An Toàn Cho Người Tiêu Dùng.
808,Combo 2 Hộp Mặt Nạ Dưỡng Ẩm B5 + Mặt Nạ Sinh Học Làm Trắng B3,1.180.000 ₫,,"Làm dịu da mụn, phục hồi da nhạy cảm và cải thiện tức thì các tình trạng khô bong tróc, châm chích, mẩn đỏ."
672,Mặt Nạ Dưỡng Ẩm Làm Dịu B5 + Peptides Biomecare & Repair Bio-Cellulose Emmié Mask 25g - Combo 1 Hộp,249.000 ₫,590.000 ₫,"Làm dịu da mụn, phục hồi da nhạy cảm và cải thiện tức thì các tình trạng khô bong tróc, châm chích, mẩn đỏ."
807,Mặt Nạ Dưỡng Ẩm Làm Dịu B5 + Peptides Biomecare & Repair Bio-Cellulose Emmié Mask 25g - Combo 2 Hộp,1.180.000 ₫,,"Làm dịu da mụn, phục hồi da nhạy cảm và cải thiện tức thì các tình trạng khô bong tróc, châm chích, mẩn đỏ."
806,Mặt Nạ Dưỡng Ẩm Làm Dịu B5 + Peptides Biomecare & Repair Bio-Cellulose Emmié Mask 25g,249.000 ₫,590.000 ₫,"Làm dịu da mụn, phục hồi da nhạy cảm và cải thiện tức thì các tình trạng khô bong tróc, châm chích, mẩn đỏ."
805,Mặt Nạ Sinh Học Làm Trắng & Cấp Ẩm Sâu Deep Hydrating & Whitening Bio-Cellulose Mask 25g - Combo 2 Hộp,1.180.000 ₫,,"Nuôi dưỡng, làm trắng & trẻ hóa làn da từ bên trong."
809,Combo 2 Hộp Mặt Nạ Sinh Học Làm Trắng B3 + Mặt Nạ Dưỡng Ẩm B5,1.180.000 ₫,,"Làm dịu da mụn, phục hồi da nhạy cảm và cải thiện tức thì các tình trạng khô bong tróc, châm chích, mẩn đỏ."
804,Mặt Nạ Sinh Học Làm Trắng & Cấp Ẩm Sâu Deep Hydrating & Whitening Bio-Cellulose Mask 25g,249.000 ₫,590.000 ₫,"Nuôi dưỡng, làm trắng & trẻ hóa làn da từ bên trong."
803,Bộ Sưu Tập 10 Mặt Nạ Việt Nam 2024 - Vietnam Mask Collection 2024 - Combo 2 Hộp,1.298.000 ₫,,
802,Bộ Sưu Tập 10 Mặt Nạ Việt Nam 2024 - Vietnam Mask Collection 2024 - Combo 1 Hộp,209.000 ₫,649.000 ₫,
726,Mặt Nạ Tái Tạo Chuyên Sâu Exosome 3% Ultimate Skinvive Biocellulo Mask Emmié by HappySkin 25g - Hộp 10 Miếng,849.000 ₫,890.000 ₫,Exosome 3% cho khả năng phục hồi và tái tạo cao hơn.
673,Mặt Nạ Sinh Học Làm Trắng & Cấp Ẩm Sâu Deep Hydrating & Whitening Bio-Cellulose Mask 25g - Combo 1 Hộp,249.000 ₫,590.000 ₫,"Nuôi dưỡng, làm trắng & trẻ hóa làn da từ bên trong."
723,Bộ Sưu Tập 10 Mặt Nạ Việt Nam 2024 - Vietnam Mask Collection 2024,209.000 ₫,649.000 ₫,
717,Mặt Nạ Dừa Làm Dịu Da - Đà Lạt,209.000 ₫,649.000 ₫,"- Cấp ẩm và dưỡng da
- Chiết xuất Atiso"
716,Mặt Nạ Dừa Làm Mờ Nếp Nhăn Da - Hà Nội,209.000 ₫,649.000 ₫,"- Cấp ẩm và dưỡng da
- Chiết xuất cúc họa mi"
715,Mặt Nạ Dừa Sáng Da - Nghệ An,209.000 ₫,649.000 ₫,"- Cấp ẩm và dưỡng da
- Chiết xuất bưởi hồng"
714,Mặt Nạ Dừa Sáng Mịn Da - Nha Trang,209.000 ₫,649.000 ₫,"- Cấp ẩm và dưỡng da
- Chiết xuất tổ yến"
713,Mặt Nạ Dừa Trắng Mịn Da - Bình Thuận,209.000 ₫,649.000 ₫,"- Cấp ẩm và dưỡng da
- Chiết xuất thanh long"
